generated_at;production_day;cod_cadastro_poco;well_operator_name;well_anp_name;subsea_tag;bank;production_status;oil_sm3;gas_1000sm3;water_sm3;filename;file_hash;source_file
2026-08-11T23:50:57;2026-08-06;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;7570.801;2504.235;4.52;042_04028583_20260811235057.xml;a72d78dc41826a9e0131a5e71108a1c62c40f4c5869a956d77827e52609c8e92;B05_MPFM_Daily-20260807-000000+0000.pdf
2026-08-11T23:50:57;2026-08-06;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;7589.187;2510.317;0.005;042_04028583_20260811235058.xml;3bb6158cd8e630ebddf5642056e42431fc79fc06bad309f91ab4a4c9a3b3d07f;B10_MPFM_Daily-20260807-000000+0000.pdf
2026-08-11T23:50:57;2026-08-06;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_ZERADA_OFICIAL;0.0;0.0;0.0;042_04028583_20260811235059.xml;170fe59827dde45e4dbc1493835191de35acd3fcc97ee26061f581ed86756751;B15_MPFM_Daily-20260807-000000+0000.pdf
2026-08-11T23:50:57;2026-08-07;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;7432.046;2458.338;4.518;042_04028583_20260811235100.xml;6a682842e3012d1acb80e83cff215807cc7ac0bdf796bfb427837893c6d1790f;B05_MPFM_Daily-20260808-000000+0000.pdf
2026-08-11T23:50:57;2026-08-07;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;7526.364;2489.537;0.005;042_04028583_20260811235101.xml;f07669bb131f4559d456c56a1f7461b2668af1f5a07c590ce4ab8430546303aa;B10_MPFM_Daily-20260808-000000+0000.pdf
2026-08-11T23:50:57;2026-08-07;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_ZERADA_OFICIAL;0.0;0.0;0.0;042_04028583_20260811235102.xml;9af0627e59ab1dbd39e9a6652e2cf8ec588d39add3d31de7207b15ec13d5384d;B15_MPFM_Daily-20260808-000000+0000.pdf
2026-08-11T23:50:57;2026-08-08;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;4789.078;1584.109;3.018;042_04028583_20260811235103.xml;46a72d9932c9bb4f33eb7fc41cf865c5daa2c8413f34c5abb436adff65332cf2;B05_MPFM_Daily-20260809-000000+0000.pdf
2026-08-11T23:50:57;2026-08-08;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;4940.272;1634.121;0.004;042_04028583_20260811235104.xml;2dc3176865273eb53e19ece91ff737ac45978cd654ddd259c1665338f96228aa;B10_MPFM_Daily-20260809-000000+0000.pdf
2026-08-11T23:50:57;2026-08-08;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;1343.969;444.552;0.017;042_04028583_20260811235105.xml;ad296b700d9604d11fec935e7cd036582b541d0ef23e4cec6366ed3860e2c456;B15_MPFM_Daily-20260809-000000+0000.pdf
2026-08-11T23:50:57;2026-08-09;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_ZERADA_OFICIAL;0.0;0.0;0.0;042_04028583_20260811235106.xml;6475e682c35ea8734ab6bc964ecd02fcfb2892a92148aef9f538da5e2445b245;B05_MPFM_Daily-20260810-000000+0000.pdf
2026-08-11T23:50:57;2026-08-09;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;498.078;164.752;0.034;042_04028583_20260811235107.xml;d6343444e28279d91f9793e1bb3ea071c679cc4b55487d1df910ac5235a5a378;B10_MPFM_Daily-20260810-000000+0000.pdf
2026-08-11T23:50:57;2026-08-09;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;2586.415;855.522;0.111;042_04028583_20260811235108.xml;b5c47f9533ac42d717e321c50ceac8f022e8d14d0089b2c180233f026c4b7ec8;B15_MPFM_Daily-20260810-000000+0000.pdf
2026-08-11T23:50:57;2026-08-10;86316030256;PE_4;7-BAC-5A-SPS;18FT1506;B05;PRODUCAO_POSITIVA_OFICIAL;2346.818;776.27;1.297;042_04028583_20260811235109.xml;258a468f74c7bab6192a6f503842814c6d8d2da65d8f7cff5ea78b961047a8f3;B05_MPFM_Daily-20260811-000000+0000.pdf
2026-08-11T23:50:57;2026-08-10;86316029925;PE_2;7-BAC-1-SPS;18FT0506;B10;PRODUCAO_POSITIVA_OFICIAL;8113.768;2683.835;0.005;042_04028583_20260811235110.xml;4b09ae73230fbaebd5d12ffaba78772e904bc9a4cc1c766a7882506ebc13b740;B10_MPFM_Daily-20260811-000000+0000.pdf
2026-08-11T23:50:57;2026-08-10;86316030246;PW-104DA;7-BAC-4D-SPS;18FT1106;B15;PRODUCAO_POSITIVA_OFICIAL;8436.05;2790.438;0.005;042_04028583_20260811235111.xml;d82150083b1cb5c8af374181270a7ad987940b4a9fe39ff8eb14dc4aeae7e601;B15_MPFM_Daily-20260811-000000+0000.pdf
